SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
140,Water sanitizer,Polgard plus,Polgard plus,2,Disinfectant,,3-Methyl-4-propylheptane,Disinfectants - Non Cl based,Formulation,Yes
7,Pesticides,Azodrin(Trade name),Azodrin(Trade name),2,Pesticide,Insecticide - organophosphate,Acephate,Pesticide,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Alcaligenes denitrificans,Probiotic - bacteria,Formulation,Yes
142,Anticeptic,Prawn Tech,Prawn Tech,39,Disinfectant,,Alkyl-dimethyl-benzyl-ammonium chloride,Disinfectants - Cl based,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Immunostimulant,,Alpha starch,Feed Supplement,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Alpha starch,Feed Supplement,Formulation,Yes
3,Water and sediment,Aluminum potassium sulfate,Aluminum potassium sulfate,13,Pesticide,Insecticide - piscicide,Alum,Coagulant,Chemical,No
3,Water and sediment,Aluminum potassium sulfate,Aluminum potassium sulfate,13,Pesticide,Insecticide - piscicide,Alum,Coagulant,Chemical,No
48,Pesticides,Sofsin (Trade name),Sofsin (Trade name),1,Pesticide,Insecticide - organophosphate,Aluminum phosphide,Pesticide,Formulation,Yes
50,Feed supplements,Vitamins,Square aquamix,2,Nutritional Supplement,,Amino acids,Feed Supplement,Formulation,Yes
149,Organic and inorganic compounds,Sentrox-Oma gel,Sentrox-Oma gel,10,Nutritional Supplement,,Amino acids,Feed Supplement,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Amylase,Enzymes,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Antioxidants,Antioxidants,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Aspergillus niger,Probiotic - other,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Aspergillus oryzae,Probiotic - other,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Aspergillus oryzae,Probiotic - other,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Astaxantin,Feed Supplement,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus amyloliquefaciens,Probiotic - bacteria,Formulation,Yes
144,Probiotic,Pro-2,Pro-2,4,Probiotic,,Bacillus amyloliquefaciens,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus coagulans,Probiotic - bacteria,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Bacillus firmus,Probiotic - bacteria,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Bacillus glucanase,Enzymes,Formulation,Yes
