"FarmID","FarmScaleID","SpeciesID","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"88-001","Small","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-001","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-002","Medium","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-002","Medium","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-003","Medium","Macrobrachium rosenbergii","Antenna broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-003","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-003","Medium","Macrobrachium rosenbergii","Rostrum broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-003","Medium","Penaeus monodon","WSSV","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-004","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-004","Small","Macrobrachium rosenbergii","Blue Shell Disease","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
