"FarmID","FarmScaleID","SpeciesID","Certification","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"2-2-004-01","Large","Penaeus monodon","No certification","Black gill","Experience","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-01","Large","Penaeus monodon","No certification","Antenna broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-01","Large","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-01","Large","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","Super PS","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-02","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Experience","A. Soil","Mineral elements","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-03","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-04","Medium","Penaeus monodon","Don’t know","White spot","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-04","Medium","Penaeus monodon","Don’t know","Antenna broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-04","Medium","Penaeus monodon","Don’t know","Rostrum broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
