FarmID,FarmScaleID,SpeciesID,SubstanceUsed,SubstanceCategory,Location,SubstanceSubCategory,ActiveSubstance,ActiveSubCategory,ChemFormulation,Commercial
2-2-004-01,Large,Penaeus monodon,Calmag,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-01,Large,Penaeus monodon,pH Fixer,Probiotic,Khulna,Probiotic - bacteria,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
2-2-004-01,Large,Penaeus monodon,Soda mix,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-01,Large,Penaeus monodon,Super PS,Probiotic,Khulna,Probiotic - bacteria,Rhodoccus sp.,Probiotic - bacteria,Formulation,Yes
2-2-004-02,Medium,Penaeus monodon,Soda mix,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,A. Soil,Sediment treatment,Khulna,Mineral elements,Boron,Mineral elements,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Calmag,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,K-Max,Disinfectant,Khulna,Disinfectants - Cl based,Choride,Disinfectants - Cl based,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Mutagen,Feed supplement,Khulna,Feed Supplement,Alpha starch,Feed Supplement,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,pH Fixer,Probiotic,Khulna,Probiotic - bacteria,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Soda mix,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Super Biotic,Probiotic,Khulna,Probiotic - bacteria,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Super PS,Probiotic,Khulna,Probiotic - bacteria,Rhodoccus sp.,Probiotic - bacteria,Formulation,Yes
2-2-004-03,Medium,Penaeus monodon,Zymetin,Feed supplement,Khulna,Feed Supplement,Alpha starch,Feed Supplement,Formulation,Yes
2-2-004-04,Medium,Penaeus monodon,Calmag,Feed supplement,Khulna,Mineral elements,Calcium,Mineral elements,Formulation,Yes
2-2-004-04,Medium,Penaeus monodon,pH Fixer,Probiotic,Khulna,Probiotic - bacteria,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
